Cell	nCount_RNA	nFeature_RNA	Cluster
SRR5960112	114569	4055	4
SRR5961429	646202	4224	1
SRR5961024	140172	4513	8
SRR5959755	35277	2871	10
SRR5968127	23603	1318	7
SRR5958681	1430227	3685	5
SRR5959134	3690	432	0
SRR5961159	195224	4583	8
SRR5960190	541970	5961	10
SRR5964712	6172	839	0
SRR5960515	93490	4185	3
SRR5959115	49892	1182	0
SRR5958742	376700	4592	5
SRR5965053	7965	988	0
SRR5957577	19289	3031	9
SRR5959254	53333	1008	0
SRR5958917	4361	1632	5
SRR5968102	16143	1216	7
SRR5958772	1009324	4192	5
SRR5959878	619805	6913	10
SRR5958666	477520	4494	5
SRR5958891	184815	4229	11
SRR5967982	11321	1260	7
SRR5958718	385216	5125	5
SRR5960391	273914	5817	3
SRR5964829	5714	861	0
SRR5959888	172606	4104	4
SRR5967570	744118	4447	1
SRR5960765	1935088	6686	3
SRR5960869	629419	5609	8
SRR5959341	33374	1097	0
SRR5960998	726592	5972	8
SRR5965104	10286	1026	0
SRR5967551	820114	2533	1
SRR5959724	40437	2908	4
SRR5958828	121750	3305	5
SRR5960323	1940347	4730	3
SRR5959958	831640	6269	4
