Cell	nCount_RNA	nFeature_RNA	Cluster
TM_RHC4921__Epithelial__.2749FE	375752.16112363	2154	0
TM_RHC4922__Epithelial__.2749FE	324806.002611609	5593	1
TM_RHC4925__Epithelial__.2749FE	306950.000629572	2388	0
TM_RHC4926__Epithelial__.2749FE	808927.006615942	5768	1
TM_RHC4931__Epithelial__.2749FE	152992.001598511	2738	1
TM_RHC4935__Epithelial__.2749FE	282166.001175004	2102	0
TM_RHC4937__Epithelial__.2749FE	106966.000186669	1870	0
TM_RHC4938__Epithelial__.2749FE	322368.866207863	5727	1
TM_RHC4944__Epithelial__.2749FE	345633.000374901	3890	0
TM_RHC4945__Epithelial__.2749FE	232454.001736914	4840	1
TM_RHC4947__Epithelial__.2749FE	492503.994835405	5586	1
TM_RHC4745__Tcell__.C6E879	337101.003122521	2551	2
TM_RHC4746__Epithelial__.2749FE	376614.170064239	4289	1
TM_RHC4747__Tcell__.C6E879	596494.008916292	3048	2
TM_RHC4751__Macrophage__.FFFF55	230550.002716308	2677	3
TM_RHC4755__Tcell__.C6E879	289215.00123293	1665	2
TM_RHC4757__Epithelial__.2749FE	130144.943360132	1500	0
TM_RHC4758__Macrophage__.FFFF55	197489.001170504	1591	3
TM_RHC4760__Epithelial__.2749FE	378544.996590681	2568	1
TM_RHC4761__Epithelial__.2749FE	172408.000198948	2658	0
TM_RHC4763__Epithelial__.2749FE	101277.376836328	2278	0
TM_RHC4767__Macrophage__.FFFF55	120447.002928197	3526	0
TM_RHC4768__Epithelial__.2749FE	1005189.96201855	4871	1
TM_RHC4769__Fibroblast__.FB4E09	313028.817234692	2953	5
TM_RHC4771__Tcell__.C6E879	310924.99913687	2284	2
TM_RHC4772__Epithelial__.2749FE	332670.996720881	3582	1
TM_RHC4774__Epithelial__.2749FE	250059.001307711	1854	0
TM_RHC4775__Fibroblast__.FB4E09	222538.410335125	1856	5
TM_RHC4776__Tcell__.C6E879	731355.00093883	2020	2
TM_RHC4780__Epithelial__.2749FE	1005460.99279553	5823	1
TM_RHC4781__Epithelial__.2749FE	1178750.98925579	4588	1
TM_RHC4784__Epithelial__.2749FE	181900.99932423	2288	1
TM_RHC4787__Macrophage__.FFFF55	315820.997759671	1768	3
TM_RHC4788__Epithelial__.2749FE	645142.474524102	4039	1
TM_RHC4789__Epithelial__.2749FE	124334.998813003	3596	1
TM_RHC4797__Fibroblast__.FB4E09	847226.23101079	3905	5
TM_RHC4800__Tcell__.C6E879	319802.028295119	1350	0
TM_RHC4801__Epithelial__.2749FE	329024.646151037	5115	1
TM_RHC4804__Tcell__.C6E879	575978.987758909	2812	2
TM_RHC4807__Epithelial__.2749FE	445821.998156611	2189	0
TM_RHC4810__Macrophage__.FFFF55	294305.999050854	2818	3
TM_RHC4811__Epithelial__.2749FE	482214.996260462	2507	0
TM_RHC4813__Epithelial__.2749FE	863989.017950505	5024	1
TM_RHC4815__Epithelial__.2749FE	131659.001282572	2404	0
TM_RHL2672__Epithelial__.2749FE	161700.001059071	2517	1
TM_RHL2704__Tcell__.C6E879	113181.996587065	3987	2
TM_RHL2716__Epithelial__.2749FE	240986.999037809	6753	1
TM_RHL2717__Epithelial__.2749FE	207919.006962195	4706	1
TM_RHL2718__Epithelial__.2749FE	101668.000430357	3191	0
TM_RHL2723__Epithelial__.2749FE	179851.638018856	5972	1
TM_RHL2724__Epithelial__.2749FE	208893.496420721	5182	1
TM_RHL2733__Epithelial__.2749FE	155038.002093197	4877	1
TM_RHL2747__Epithelial__.2749FE	353642.139377938	6418	1
TM_RHL2749__Epithelial__.2749FE	480203.999729455	4550	1
TM_RHL2752__Tcell__.C6E879	195345.00029905	2440	2
TM_RHL2758__Epithelial__.2749FE	686537.128596494	6142	1
TM_RHL2759__Epithelial__.2749FE	314865.0025458	4322	1
TM_RHL2760__NA__grey	113835.970942421	2802	0
TM_RHL2762__Macrophage__.FFFF55	389033.029460628	4863	3
TM_RHL2765__Epithelial__.2749FE	448949.00038347	4385	1
TM_RHL2766__Epithelial__.2749FE	479193.351309244	6033	1
TM_RHL2767__Epithelial__.2749FE	1376212.36573891	7840	1
TM_RHL2769__Epithelial__.2749FE	494102.004178753	4206	1
TM_RHL2770__Epithelial__.2749FE	627590.003430184	6149	1
TM_RHL2773__Epithelial__.2749FE	1056323.0010085	9269	1
TM_RHL2779__Epithelial__.2749FE	417220.231409649	3117	1
TM_RHL2780__Epithelial__.2749FE	584521.00136009	4811	1
TM_RHL2781__Epithelial__.2749FE	577921.421458571	5053	1
TM_RHL2786__Bcell__.7DEA7B	178192.999680458	3393	4
TM_RHL2791__Epithelial__.2749FE	836201.894099403	5508	1
TM_RHC5544__Epithelial__.2749FE	463560.001237061	4877	0
TM_RHC5546__Epithelial__.2749FE	638548.439679766	7207	1
TM_RHC5549__Epithelial__.2749FE	998623.987423836	7452	1
TM_RHC5550__Epithelial__.2749FE	684696.000200207	7343	1
TM_RHC5551__NA__grey	112464.00023686	2277	0
TM_RHC5552__Epithelial__.2749FE	472121.999088457	2494	0
TM_RHC5553__Epithelial__.2749FE	815789.948726375	6345	1
TM_RHC5555__Epithelial__.2749FE	715485.996842223	6469	1
TM_RHC5557__Epithelial__.2749FE	343943.66629956	4014	0
TM_RHC5558__Epithelial__.2749FE	1022305.97988514	7279	1
TM_RHC5560__Epithelial__.2749FE	1077124.00006459	3211	0
TM_RHC5561__Epithelial__.2749FE	1178860.67296328	8019	1
TM_RHC5563__Epithelial__.2749FE	110646.000241905	3445	0
TM_RHC5566__Epithelial__.2749FE	432499.000990309	6376	1
